Gene,LFC,P_value,CGC,RelevanceScore,ProtoOncogene,TumorSuppressor,PPIs,Z_score
BCORP1,4.514248538,0.000404154,,,,,,
CYP11A1,4.45801658,0.000794597,,8.300457001,,,1.0,1.823
LOC642929,4.194982341,0.000292517,,,,,,
LINGO2,4.19364919,0.008075149,,,,,,1.034
RARRES1,4.099209153,0.007433429,,6.800346851,,,,1.73
FGF8,4.099209152,0.007435063,,13.26803303,Yes,,12.0,2.76
CORIN,4.028834004,6.86232e-06,,,,,,1.154
SFRP2,2.728800465,1.96734e-09,,9.010613441,Yes,Yes,1.0,2.308
FAT1,2.382510064,0.000279687,CGC,7.680253029,,Yes,2.0,2.335
EGR1,2.266722477,4.90185e-14,,20.61309624,,Yes,18.0,2.65
YAP1,2.052393915,0.000811676,,32.42881393,Yes,,13.0,2.83
EGR2,2.051854216,9.67966e-05,,6.748496056,,Yes,14.0,1.914
GNA12,1.995832575,2.49447e-11,,10.43458366,Yes,,1.0,1.928
OLIG2,1.993093145,0.000564381,CGC,5.301885605,,,6.0,1.826
AHSP,1.957550981,5.43153e-07,,1.457414389,,,2.0,0.829
PIK3R3,1.756029386,1.52889e-05,,8.60948658,,Yes,8.0,2.088
RBM15,1.666979464,9.52654e-06,CGC,9.86796093,Yes,Yes,4.0,2.308
ASPM,1.64487873,5.66735e-11,CGC,3.487117529,,,9.0,2.03
SGK1,1.639244084,0.009312863,CGC,15.7942667,Yes,,6.0,2.353
PHLPP2,1.624294439,1.96436e-09,,5.291498661,,Yes,1.0,1.977
STIL,1.595856384,6.76563e-09,CGC,10.82637024,,,8.0,2.104
JUND,1.576239684,2.97138e-20,,10.09134769,Yes,,9.0,2.194
EGFL7,1.547279929,0.000577182,,,Yes,,,1.861
JAZF1,1.547252174,5.15132e-13,CGC,10.75799561,,,2.0,1.409
FOXO3,1.512431285,1.03328e-10,CGC,22.49775314,,Yes,20.0,2.957
MAP2K4,1.511153601,7.60382e-12,CGC,28.46710396,,Yes,4.0,2.49
ARHGEF12,1.503930465,1.09524e-09,CGC,,Yes,Yes,6.0,1.593
RMI2,1.49254664,0.004893532,CGC,4.044668674,,,8.0,1.459
EZH2,1.487952209,1.79499e-19,CGC,43.57718277,Yes,Yes,34.0,3.196
DGCR8,1.451928792,9.06521e-11,CGC,4.011286736,,,2.0,2.39
ESCO2,1.444944653,3.38201e-10,,6.500387669,,Yes,8.0,1.817
UBA52,1.404071462,1.33236e-08,,,,,32.0,1.475
ARID4A,1.383126925,4.8944999999999995e-58,,5.653213978,,Yes,3.0,1.544
MYH11,1.37365325,0.003225882,CGC,16.39468002,,Yes,5.0,1.965
BUB1B,1.365290154,5.75775e-05,CGC,46.8458252,Yes,,14.0,2.455
HSPA4,1.359486383,3.68848e-12,,17.73935509,,,23.0,2.893
MDM2,1.340108571,7.51278e-08,CGC,58.549263,Yes,,27.0,3.23
SESN3,1.336451064,1.07554e-07,,3.093047619,,Yes,2.0,1.252
POLQ,1.320065495,0.001293769,CGC,,,,10.0,1.848
TFRC,1.319476796,2.52026e-08,CGC,17.21832657,,,12.0,2.702
SPECC1,1.309433965,1.471e-09,CGC,4.484175682,,,,0.952
KLF3,1.299977353,4.06153e-35,,,,Yes,1.0,1.615
BARD1,1.267606859,7.64277e-05,CGC,139.5420532,,Yes,16.0,2.982
TBL1XR1,1.25615381,3.10313e-11,CGC,13.09714508,Yes,,8.0,1.771
CDK1,1.252927879,0.001030244,,27.98592186,,,27.0,3.141
PBX1,1.235230111,1.75727e-08,CGC,13.68799973,,,11.0,2.059
DDIT3,1.228091803,0.001539871,CGC,17.81702805,,,7.0,2.234
STK11,1.221658208,1.08136e-09,CGC,125.5768738,,Yes,9.0,2.992
STK11,1.221658208,1.08136e-09,CGC,125.5768738,,Yes,9.0,2.992
STK11,1.221658208,1.08136e-09,CGC,125.5768738,,Yes,9.0,2.992
RAD51C,1.220750943,1.13044e-11,,93.8824234,,Yes,11.0,2.948
GATA1,1.218067484,9.23225e-05,CGC,18.09731674,,,18.0,2.2
RIT1,1.216375824,3.31026e-05,,12.11716366,Yes,,1.0,0.792
PIM1,1.215984202,8.00629e-07,CGC,,,,2.0,1.683
TOP2A,1.209284075,2.68892e-05,,24.99110031,Yes,,23.0,2.93
ELL2,1.179561815,3.45557e-10,,,Yes,Yes,3.0,1.313
DEK,1.15968657,5.08276e-12,CGC,14.97959423,Yes,,9.0,1.927
ZNF429,1.150902558,4.41335e-05,CGC,0.910681725,,,,0.658
TCEA1,1.144243884,2.9036200000000003e-19,CGC,1.883522987,,,6.0,1.318
SBDS,1.142994125,0.000188493,CGC,15.85983086,,,4.0,1.178
DCUN1D1,1.140841356,1.32528e-09,,3.47837925,Yes,,2.0,1.342
HIST2H3D,1.094216974,2.28963e-05,,,,,,
EPHB1,1.090381421,0.001652461,,,Yes,Yes,1.0,1.731
CHEK2,1.089132436,0.010674874,CGC,164.289444,,Yes,18.0,3.338
CHEK2,1.089132436,0.010674874,CGC,164.289444,,Yes,18.0,3.338
FGFR1OP,1.0879514,3.39338e-08,CGC,,,,2.0,0.841
VEGFA,1.086586628,0.000128797,,48.43970108,Yes,,,
TCF3,1.083700524,0.000569551,CGC,18.7313118,,Yes,11.0,2.017
CD58,1.078763067,6.89408e-17,,9.948460579,,Yes,7.0,1.749
KEL,1.064672259,0.001701975,,1.974593997,Yes,,2.0,0.936
WRN,1.062573226,1.7684e-06,CGC,41.37881088,,Yes,15.0,2.302
CDC73,1.054887188,1.09102e-06,CGC,55.32717133,,Yes,9.0,1.676
SHOC2,1.052765019,3.11068e-12,,10.91989231,Yes,,4.0,1.329
AFF1,1.049615744,2.15367e-06,fusion,,,,11.0,1.826
TOP1,1.044737796,6.27939e-07,CGC,25.84102058,Yes,,10.0,2.465
FIP1L1,1.044166551,5.10419e-09,CGC,5.955803394,,,2.0,1.115
SUZ12,1.041525756,6.32824e-08,CGC,16.18136597,,Yes,15.0,2.52
CDKN2C,1.040758598,3.98423e-09,CGC,18.33715057,,Yes,7.0,2.095
CEP89,1.036919929,4.50453e-05,CGC,1.134557486,,,,0.567
HOOK3,1.032363171,1.19838e-17,CGC,,,,,1.139
CUL4A,1.028591421,8.19031e-06,,7.604558945,Yes,,10.0,2.129
MTAP,1.027132794,1.42889e-05,,,,Yes,1.0,2.002
GAB1,1.005219076,1.6382e-10,,7.355949402,Yes,,4.0,1.621
LTB,-1.004658646,2.22705e-13,,3.16437602,Yes,Yes,6.0,1.632
AIP,-1.009857655,7.28843e-14,,45.05823517,,,1.0,1.13
CD79B,-1.015124261,0.000165233,CGC,12.661623,Yes,,11.0,1.879
NFKBIE,-1.019303362,0.00063144,CGC,4.305392265,,,5.0,1.561
TNF,-1.028634543,5.84977e-05,,50.24751282,,,41.0,3.399
DDX41,-1.034083688,5.2628e-06,,15.7039938,,Yes,3.0,1.564
EZR,-1.036458822,1.74418e-11,CGC,18.21939087,,,3.0,2.474
JAK3,-1.044925911,7.60753e-07,CGC,24.56435013,Yes,,14.0,2.243
CD28,-1.052302523,0.001909019,CGC,18.10277176,Yes,,17.0,2.84
RPL3,-1.065555906,2.82998e-09,,7.880483627,,,8.0,1.49
BIRC3,-1.067983118,3.90128e-09,CGC,22.9144249,Yes,Yes,8.0,2.442
HIST1H4F,-1.089227573,0.00019346,,,,,,
PRF1,-1.094825604,9.54738e-05,CGC,23.33670616,,,14.0,2.764
STAT4,-1.10949301,2.0486e-09,,11.12077332,Yes,,11.0,1.999
RRAS,-1.11288056,0.001994318,,15.38231659,Yes,,4.0,1.881
SH2D1A,-1.146506064,2.26293e-08,,8.52381134,,Yes,5.0,1.253
HSPE1,-1.148850725,7.17565e-11,,4.506869316,,,3.0,1.604
ARID5B,-1.160671849,3.96989e-12,,4.51967907,,Yes,3.0,1.526
RRAS2,-1.162888351,0.000630799,,19.50300407,Yes,,4.0,1.613
FEN1,-1.189030356,0.013346775,CGC,9.647533417,,,17.0,2.323
EBF1,-1.189537938,0.004096054,CGC,,,,10.0,1.809
IL21R,-1.192629598,1.25238e-05,CGC,3.476853371,,,14.0,1.546
SP140,-1.202461539,0.000133017,,,,Yes,2.0,1.166
NCOR1,-1.209296599,5.68473e-11,CGC,27.86626053,,Yes,17.0,2.579
PATZ1,-1.235135389,5.79347e-06,CGC,4.500115395,,,2.0,1.387
RPTOR,-1.237552058,9.55415e-05,,12.55364609,Yes,,7.0,2.453
ICOSLG,-1.269610217,0.013017267,,6.829428673,Yes,,8.0,2.12
POU2AF1,-1.269966939,2.83463e-08,CGC,,,,7.0,1.427
PML,-1.418921241,9.05326e-06,CGC,16.79055214,,Yes,12.0,1.983
CARS,-1.429039877,0.002732261,CGC,,,,,
CD79A,-1.453124176,3.71965e-07,CGC,14.77335358,Yes,,13.0,2.045
NBEA,-1.469866648,0.003027064,CGC,,,,,1.073
GATA3,-1.473079682,2.98427e-08,CGC,34.0852623,Yes,Yes,29.0,3.198
IFNG,-1.508960791,0.013316129,,39.47425079,,,27.0,3.393
HIP1,-1.616022951,3.0696e-07,CGC,15.88494778,,,2.0,0.976
NCKIPSD,-1.687935798,6.65237e-05,CGC,,,,1.0,1.162
SRSF2,-1.688888733,1.57443e-06,CGC,13.15056038,,,5.0,2.167
ERBB2,-1.699821525,3.41452e-05,CGC,112.6754608,Yes,,35.0,4.0
ERBB2,-1.699821525,3.41452e-05,CGC,112.6754608,Yes,,35.0,4.0
TCL1A,-1.728640184,0.000321218,CGC,11.03823757,Yes,,5.0,1.913
CTLA4,-1.763895282,1.85681e-05,,31.76713562,Yes,,18.0,3.348
TNFRSF17,-1.815976767,0.002246732,CGC,8.820757866,Yes,,10.0,1.98
PTCH1,-1.830958635,5.09428e-06,CGC,100.6214066,,Yes,10.0,2.49
MERTK,-1.840212516,0.000489007,,6.628122807,Yes,,3.0,2.154
MERTK,-1.840212516,0.000489007,,6.628122807,Yes,,3.0,2.154
ID3,-2.45996558,8.19117e-05,CGC,13.06519604,,Yes,6.0,2.048
CAMTA1,-2.728999126,0.001796543,CGC,,,,1.0,1.432
ARHGEF10,-2.834439128,0.009728982,CGC,4.303412914,,,1.0,1.261
MDS2,-2.888709058,0.008172449,CGC,2.628021717,,,,
FGF9,-4.238987209,0.009313232,,15.7125349,Yes,,11.0,2.773
ZBTB20,-4.427155413,0.005047371,,3.989481211,Yes,Yes,,1.424
HSPA1L,-4.502133114,0.00357108,,4.397822857,,,6.0,1.332
FAM131B,-4.643993134,0.00287023,CGC,1.89917028,,,,0.595
HLA-B,-5.792849531,0.000329449,,25.12493896,,Yes,6.0,2.086
DSP,-7.123446991,0.001866003,,17.64849091,,,1.0,1.942
REXO1L2P,-7.166371475,2.23771e-06,,,,,,
TRAPPC10,-7.188196757,5.27966e-11,,1.4197824,,,,1.083
TREML5P,-7.21984939,0.000255052,,,,,,
RPAIN,-7.225250836,1.35333e-05,,1.88596642,,,,
CDK2,-7.252065787,1.53189e-06,,33.45591736,,,26.0,3.205
ATF2,-8.040478132,1.2286e-07,,8.478125572,,,10.0,1.877
B4GALT3,-8.67296175,1.61081e-06,,2.341327429,,,,1.556
XIST,-12.33011846,3.59734e-05,,57.2949295,,,,2.523
